ИНСТИТУТ;ФАКУЛЬТЕТ;КАФЕДРА;КАБИНЕТ;ССЫЛКА;;;
институт биологии и биотехнологии;;;1-500;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/biologicheskiy-2.html;;;
;;кафедра биотехнологии;1-416А;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/biologicheskiy-2/kafedra-biotehnologii.html;;;
;;кафедра микробиологии;1-118;http://www.vyatsu.ru/studentu-1/nauka-i-praktika/biologicheskiy-2/kafedra-mikrobiologii.html;;;
;;кафедра биологии и методики обучения биологии;4-407;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/biologicheskiy-2/kafedra-biologii-i-metodiki-obucheniya-biologii.html;;;
институт химии и экологии;;;;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/himicheskiy-2.html;;;
;;Кафедра химии и технологии переработки полимеров;1-521А;https://www.vyatsu.ru/nash-universitet/nauchnaya-deyatel-nost-1/konkursyi/kafedra-himii-i-tehnologii-pererabotki-elastomerov.html;;;
;;Кафедра технологии неорганических веществ и электрохимических производств;1-506;https://www.vyatsu.ru/nash-universitet/nauchnaya-deyatel-nost-1/konkursyi/kafedra-tehnologii-elektrohimicheskih-proizvodstv-1.html;;;
;;Кафедра промышленной и прикладной экологии;1-425;https://www.vyatsu.ru/nash-universitet/nauchnaya-deyatel-nost-1/konkursyi/kafedra-tehnologii-zaschityi-biosferyi.html;;;
;;Кафедра фундаментальной химии и методики обучения химии;15-420;https://www.vyatsu.ru/internet-gazeta/nashi-novosti/obschestvennaya-zhizn/kafedra-fundamental-noy-himii-i-metodiki-obucheniy.html;;;
;;Кафедра географии и методики обучения географии;15-319;https://www.vyatsu.ru/internet-gazeta/kafedra-geografii-i-metodiki-obucheniya-geografii.html;;;
;;Кафедра экологии и природопользования;15-272;https://www.vyatsu.ru/internet-gazeta/kafedra-ekologii-i-prirodopol-zovaniya.html;;;
политехнический институт;;;8-208;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/pi-1.html;;;
;Электротехнический факультет;;8-407;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/etf.html;;;
;;Кафедра электропривода и автоматизации промышленных установок;7-12;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/favt-2/kafedra-elektroprivod-i-avtomatika-promyishlennyih.html;;;
;;Кафедра электротехники и электроники;1-412;https://www.vyatsu.ru/studentu-1/nauka-i-praktika/etf/kafedra-elektrotehniki-i-elektroniki-1.html;;;
