ID;roomID;roomNo;Description;Area (m2);Vertex_Indices;World_Coords_XY
0;100;;;0,95;[12, 48, 38, 14];[(-6.643, 9.653), (-5.591, 9.653), (-5.591, 10.56), (-6.643, 10.56)]
1;100;;;11,49;[35, 44, 39, 28, 26, 24, 520, 521];[(-5.6, 26.743), (-5.591, 27.683), (-5.591, 35.855), (-6.826, 35.855), (-6.826, 27.538), (-6.826, 26.743), (-6.826, 26.543), (-5.608, 26.543)]
2;100;;;1,26;[28, 39, 34, 30];[(-6.826, 35.855), (-5.591, 35.855), (-5.591, 36.874), (-6.826, 36.874)]
3;100;;;10,03;[18, 46, 501, 508, 43, 20];[(-6.826, 14.785), (-5.591, 14.785), (-5.591, 17.794), (-5.591, 18.067), (-5.591, 22.905), (-6.826, 22.905)]
4;100;;;3,32;[14, 38, 37, 16];[(-6.643, 10.56), (-5.591, 10.56), (-5.591, 13.715), (-6.643, 13.715)]
5;100;;;1,22;[16, 37, 46, 18];[(-6.643, 13.715), (-5.591, 13.715), (-5.591, 14.785), (-6.826, 14.785)]
6;100;;;13,88;[10, 50, 48, 12];[(-6.643, -3.538), (-5.591, -3.538), (-5.591, 9.653), (-6.643, 9.653)]
7;100;;;7,02;[6, 47, 254, 257, 41, 8];[(-6.643, -11.044), (-5.591, -11.044), (-5.591, -8.876), (-5.591, -8.74), (-5.591, -4.372), (-6.643, -4.372)]
8;100;;;0,88;[8, 41, 50, 10];[(-6.643, -4.372), (-5.591, -4.372), (-5.591, -3.538), (-6.643, -3.538)]
9;100;;;0,82;[4, 45, 47, 6];[(-6.643, -11.828), (-5.591, -11.828), (-5.591, -11.044), (-6.643, -11.044)]
10;100;;;1,21;[33, 42, 40, 2, 1572];[(-6.643, -21.033), (-5.591, -21.033), (-5.591, -19.88), (-6.643, -19.88), (-6.643, -20.832)]
11;100;;;1,04;[0, 36, 53, 1559];[(-6.643, -30.518), (-5.591, -30.518), (-5.591, -29.533), (-6.643, -29.533)]
12;100;;;11,19;[40, 42, 225, 213, 121, 120, 166, 162, 124, 125];[(-5.591, -19.88), (-5.591, -21.033), (-1.902, -21.033), (-1.579, -21.033), (4.111, -21.033), (4.111, -19.88), (3.518, -19.88), (3.343, -19.88), (-2.595, -19.88), (-2.881, -19.88)]
13;11;;;116,29;[48, 50, 285, 287, 301, 300];[(-5.591, 9.653), (-5.591, -3.538), (-1.28, -3.538), (0.369, -3.538), (3.225, -3.538), (3.225, 9.653)]
