ID;roomID;roomNo;Description;areClosed;Area (m2);Vertex_Indices;World_Coords_XY
0;100;;;0;7,34;[0, 198, 197, 1];[(-7.431, 6.003), (-17.402, 5.989), (-17.402, 5.238), (-7.745, 5.258)]
1;100;;;0;0,50;[0, 1, 3, 2];[(-7.431, 6.003), (-7.745, 5.258), (-6.917, 5.258), (-6.917, 6.003)]
2;100;;;0;0,21;[211, 204, 206, 212];[(-6.92, 9.679), (-6.951, 10.096), (-7.418, 10.12), (-7.418, 9.679)]
3;100;;;0;0,13;[12, 11, 13, 14];[(18.168, 5.987), (18.168, 5.231), (18.334, 5.231), (18.334, 5.987)]
4;100;;;0;7,39;[14, 13, 15, 16];[(18.334, 5.987), (18.334, 5.231), (28.107, 5.257), (28.107, 6.013)]
5;100;;;0;1,91;[18, 15, 17, 20];[(28.786, 5.257), (28.107, 5.257), (28.107, 2.45), (28.786, 2.45)]
6;100;;;0;0,16;[20, 17, 21, 22];[(28.786, 2.45), (28.107, 2.45), (28.107, 2.211), (28.786, 2.211)]
7;100;;;0;0,31;[15, 18, 387, 19, 16];[(28.107, 5.257), (28.786, 5.257), (28.786, 5.534), (28.601, 5.534), (28.107, 6.013)]
8;100;;;0;3,45;[22, 21, 23, 24];[(28.786, 2.211), (28.107, 2.211), (28.107, -2.866), (28.786, -2.866)]
9;100;;;0;0,09;[24, 23, 25, 26];[(28.786, -2.866), (28.107, -2.866), (28.107, -2.999), (28.786, -2.999)]
10;100;;;0;6,67;[25, 27, 28, 26];[(28.107, -2.999), (28.107, -12.832), (28.786, -12.832), (28.786, -2.999)]
11;100;;;0;0,46;[28, 27, 29, 30];[(28.786, -12.832), (28.107, -12.832), (28.107, -13.512), (28.786, -13.512)]
12;100;;;0;2,69;[28, 30, 32, 31];[(28.786, -12.832), (28.786, -13.512), (32.746, -13.512), (32.746, -12.832)]
13;100;;;0;0,27;[31, 32, 34, 33];[(32.746, -12.832), (32.746, -13.512), (33.14, -13.512), (33.14, -12.832)]
14;100;;;0;1,32;[33, 34, 36, 35];[(33.14, -12.832), (33.14, -13.512), (35.085, -13.512), (35.085, -12.832)]
15;100;;;0;0,27;[35, 36, 38, 37];[(35.085, -12.832), (35.085, -13.512), (35.486, -13.512), (35.486, -12.832)]
16;100;;;0;2,79;[37, 38, 40, 39];[(35.486, -12.832), (35.486, -13.512), (39.589, -13.512), (39.589, -12.832)]
17;100;;;0;0,44;[39, 40, 42, 41];[(39.589, -12.832), (39.589, -13.512), (40.237, -13.512), (40.237, -12.832)]
18;100;;;0;0,93;[48, 44, 46, 49];[(40.237, -0.835), (40.237, -1.561), (41.523, -1.561), (41.523, -0.835)]
19;100;;;0;0,47;[49, 46, 50, 51];[(41.523, -0.835), (41.523, -1.561), (42.17, -1.561), (42.17, -0.835)]
20;100;;;0;0,47;[44, 48, 47, 45, 43];[(40.237, -1.561), (40.237, -0.835), (39.589, -0.835), (39.589, -1.149), (39.589, -1.561)]
21;100;;;0;1,89;[49, 51, 53, 52];[(41.523, -0.835), (42.17, -0.835), (42.17, 2.085), (41.523, 2.085)]
22;100;;;0;0,45;[52, 53, 55, 54];[(41.523, 2.085), (42.17, 2.085), (42.17, 2.785), (41.523, 2.785)]
23;100;;;0;0,89;[52, 54, 57, 56];[(41.523, 2.085), (41.523, 2.785), (40.246, 2.785), (40.246, 2.085)]
24;100;;;0;0,45;[56, 57, 59, 467, 58];[(40.246, 2.085), (40.246, 2.785), (39.599, 2.785), (39.599, 2.486), (39.599, 2.085)]
25;100;;;0;1,77;[560, 559, 60, 61];[(39.599, 7.225), (40.246, 7.225), (40.246, 9.964), (39.599, 9.964)]
26;100;;;0;0,51;[61, 60, 62, 63];[(39.599, 9.964), (40.246, 9.964), (40.246, 10.751), (39.599, 10.751)]
27;100;;;0;3,24;[61, 63, 65, 64];[(39.599, 9.964), (39.599, 10.751), (35.487, 10.751), (35.487, 9.964)]
28;100;;;0;0,31;[64, 65, 67, 68, 66];[(35.487, 9.964), (35.487, 10.751), (35.095, 10.751), (35.095, 10.043), (35.095, 9.964)]
29;100;;;0;1,34;[68, 67, 69, 70];[(35.095, 10.043), (35.095, 10.751), (33.207, 10.751), (33.207, 10.043)]
30;100;;;0;0,99;[73, 69, 71, 80];[(32.595, 10.751), (33.207, 10.751), (33.207, 12.378), (32.595, 12.378)]
31;100;;;0;0,29;[80, 71, 81, 82];[(32.595, 12.378), (33.207, 12.378), (33.207, 12.859), (32.595, 12.859)]
32;100;;;0;0,09;[72, 74, 76, 75];[(33.14, 10.043), (32.528, 10.043), (32.528, 9.895), (33.14, 9.895)]
33;100;;;0;0,06;[74, 77, 79, 78];[(32.528, 10.043), (32.595, 10.554), (32.451, 10.554), (32.451, 10.043)]
34;100;;;0;0,45;[69, 73, 77, 74, 72, 70];[(33.207, 10.751), (32.595, 10.751), (32.595, 10.554), (32.528, 10.043), (33.14, 10.043), (33.207, 10.043)]
35;100;;;0;2,49;[82, 81, 83, 84];[(32.595, 12.859), (33.207, 12.859), (33.207, 16.925), (32.595, 16.925)]
36;100;;;0;0,47;[84, 83, 85, 86];[(32.595, 16.925), (33.207, 16.925), (33.207, 17.686), (32.595, 17.686)]
37;100;;;0;11,19;[86, 88, 87, 84];[(32.595, 17.686), (17.88, 17.686), (17.88, 16.925), (32.595, 16.925)]
38;100;;;0;0,20;[87, 88, 90, 89];[(17.88, 16.925), (17.88, 17.686), (17.613, 17.686), (17.613, 16.925)]
39;100;;;0;11,03;[90, 92, 91, 89];[(17.613, 17.686), (3.109, 17.686), (3.109, 16.925), (17.613, 16.925)]
40;100;;;0;7,30;[4, 11, 12, 8];[(8.522, 5.231), (18.168, 5.231), (18.168, 5.987), (8.522, 5.987)]
41;100;;;0;0,70;[96, 92, 94, 97];[(2.54, 17.686), (3.109, 17.686), (3.109, 18.91), (2.54, 18.91)]
42;100;;;0;0,44;[97, 94, 98, 99];[(2.54, 18.91), (3.109, 18.91), (3.109, 19.68), (2.54, 19.68)]
43;100;;;0;0,43;[92, 96, 95, 93, 91];[(3.109, 17.686), (2.54, 17.686), (2.54, 16.925), (3.108, 16.925), (3.109, 16.925)]
44;100;;;0;3,29;[97, 99, 101, 100];[(2.54, 18.91), (2.54, 19.68), (-1.736, 19.68), (-1.736, 18.91)]
45;100;;;0;0,45;[100, 101, 103, 102];[(-1.736, 18.91), (-1.736, 19.68), (-2.319, 19.68), (-2.319, 18.91)]
46;100;;;0;0,77;[100, 102, 105, 104];[(-1.736, 18.91), (-2.319, 18.91), (-2.319, 17.584), (-1.736, 17.584)]
47;100;;;0;0,45;[104, 105, 107, 108, 605, 608, 106];[(-1.736, 17.584), (-2.319, 17.584), (-2.319, 16.819), (-2.212, 16.819), (-1.95, 16.819), (-1.831, 16.819), (-1.736, 16.819)]
48;100;;;0;3,68;[105, 109, 110, 107];[(-2.319, 17.584), (-7.131, 17.584), (-7.131, 16.819), (-2.319, 16.819)]
49;100;;;0;0,13;[110, 109, 111, 112];[(-7.131, 16.819), (-7.131, 17.584), (-7.3, 17.584), (-7.3, 16.819)]
50;100;;;0;3,52;[112, 111, 113, 114];[(-7.3, 16.819), (-7.3, 17.584), (-11.896, 17.584), (-11.896, 16.819)]
51;100;;;0;0,29;[114, 113, 115, 116];[(-11.896, 16.819), (-11.896, 17.584), (-12.274, 17.584), (-12.274, 16.819)]
