Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
25326_2_11052026_24052026.pdf,12.05.26,вторник,08:20-09:50,Общая группа,"к и н6 ь2 л 5. е д е 1. 0 н1 о п Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,12.05.26,вторник,10:00-11:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,12.05.26,вторник,11:45-13:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,12.05.26,вторник,14:00-15:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,12.05.26,вторник,15:45-17:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,12.05.26,вторник,17:20-18:50,Общая группа,Нормативно-правовые основы природопользования,Лекция,Березин Г.И.,15-267
25326_2_11052026_24052026.pdf,12.05.26,вторник,18:55-20:25,Общая группа,Нормативно-правовые основы природопользования,Лекция,Березин Г.И.,15-267
25326_2_11052026_24052026.pdf,14.05.26,четверг,17:20-18:50,Общая группа,Нормативно-правовые основы природопользования,Практическое занятие,Березин Г.И.,15-268
25326_2_11052026_24052026.pdf,14.05.26,четверг,18:55-20:25,Общая группа,Нормативно-правовые основы природопользования,Практическое занятие,Березин Г.И.,15-268
25326_2_11052026_24052026.pdf,15.05.26,пятница,17:20-18:50,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Макаров А.Н.,1-227а
25326_2_11052026_24052026.pdf,15.05.26,пятница,17:20-18:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-337
25326_2_11052026_24052026.pdf,15.05.26,пятница,18:55-20:25,02 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Макаров А.Н.,1-227а
25326_2_11052026_24052026.pdf,16.05.26,суббота,08:20-09:50,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,16.05.26,суббота,10:00-11:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,16.05.26,суббота,11:45-13:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,16.05.26,суббота,14:00-15:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,16.05.26,суббота,15:45-17:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,18.05.26,понедельник,08:20-09:50,Общая группа,"к и н6 ь2 л 5. е д е 8. 0 н1 о п Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,18.05.26,понедельник,10:00-11:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,18.05.26,понедельник,11:45-13:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,18.05.26,понедельник,14:00-15:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,18.05.26,понедельник,15:45-17:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,19.05.26,вторник,17:20-18:50,Общая группа,Устойчивое развитие,Лекция,Пестов С.В.,15-264
25326_2_11052026_24052026.pdf,19.05.26,вторник,18:55-20:25,Общая группа,Устойчивое развитие,Лекция,Пестов С.В.,15-264
25326_2_11052026_24052026.pdf,21.05.26,четверг,17:20-18:50,Общая группа,Устойчивое развитие,Лабораторная работа,Пестов С.В.,15-264
25326_2_11052026_24052026.pdf,21.05.26,четверг,18:55-20:25,Общая группа,Устойчивое развитие,Лабораторная работа,Пестов С.В.,15-264
25326_2_11052026_24052026.pdf,22.05.26,пятница,17:20-18:50,01 подгруппа,Иностранный язык в профессиональной деятельности,Практическое занятие,Суслопарова М.М.,15-337
25326_2_11052026_24052026.pdf,23.05.26,суббота,08:20-09:50,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,23.05.26,суббота,10:00-11:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,23.05.26,суббота,11:45-13:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,23.05.26,суббота,14:00-15:30,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
25326_2_11052026_24052026.pdf,23.05.26,суббота,15:45-17:15,Общая группа,"Производственная практика №1, научно-исследовательская работа",Не указан,Не указан,15-261
