Файл,Дата,День недели,Время,Подгруппа,Дисциплина,Тип занятия,Преподаватель,Кабинет
26862_1_14092026_27092026.pdf,16.09.26,среда,08:20-09:50,Общая группа,"к и н6 ь2 л 9. е д е 4. 0 н1 о п Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,16.09.26,среда,10:00-11:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,16.09.26,среда,11:45-13:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,16.09.26,среда,14:00-15:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,16.09.26,среда,15:45-17:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,16.09.26,среда,17:20-18:50,Общая группа,Стратегии управления персоналом,Практическое занятие,Колесова Ю.А.,14-133
26862_1_14092026_27092026.pdf,17.09.26,четверг,17:20-18:50,Общая группа,Стратегии развития предприятий торговли (продвинутый курс),Практическое занятие,Деветьярова И.П.,14-133
26862_1_14092026_27092026.pdf,17.09.26,четверг,18:55-20:25,Общая группа,Стратегии развития предприятий торговли (продвинутый курс),Практическое занятие,Деветьярова И.П.,14-133
26862_1_14092026_27092026.pdf,18.09.26,пятница,08:20-09:50,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,18.09.26,пятница,10:00-11:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,18.09.26,пятница,11:45-13:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,18.09.26,пятница,14:00-15:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,18.09.26,пятница,15:45-17:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,19.09.26,суббота,08:20-09:50,Общая группа,"к и н6 ь2 л 9. е д е 1. 0 н2 о п Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,19.09.26,суббота,10:00-11:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,19.09.26,суббота,11:45-13:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,19.09.26,суббота,14:00-15:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-145
26862_1_14092026_27092026.pdf,19.09.26,суббота,15:45-17:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-145
26862_1_14092026_27092026.pdf,24.09.26,четверг,17:20-18:50,Общая группа,Стратегии построения эффективных систем дистрибуции,Практическое занятие,Агалакова О.С.,14-143
26862_1_14092026_27092026.pdf,24.09.26,четверг,18:55-20:25,Общая группа,Стратегии построения эффективных систем дистрибуции,Практическое занятие,Агалакова О.С.,14-143
26862_1_14092026_27092026.pdf,25.09.26,пятница,08:20-09:50,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,25.09.26,пятница,10:00-11:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,25.09.26,пятница,11:45-13:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,25.09.26,пятница,14:00-15:30,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
26862_1_14092026_27092026.pdf,25.09.26,пятница,15:45-17:15,Общая группа,"Производственная практика №2, научно-исследовательская работа",Не указан,Не указан,14-143
